age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,response,response_binary,month_int
58,management,married,tertiary,no,2143,yes,no,5,may,4.35,1,-1,0,unknown,no,0,5.0
44,technician,single,secondary,no,29,yes,no,5,may,2.52,1,-1,0,unknown,no,0,5.0
33,entrepreneur,married,secondary,no,2,yes,yes,5,may,1.27,1,-1,0,unknown,no,0,5.0
35,management,married,tertiary,no,231,yes,no,5,may,2.32,1,-1,0,unknown,no,0,5.0
28,management,single,tertiary,no,447,yes,yes,5,may,3.62,1,-1,0,unknown,no,0,5.0
42,entrepreneur,divorced,tertiary,yes,2,yes,no,5,may,6.33,1,-1,0,unknown,no,0,5.0
58,retired,married,primary,no,121,yes,no,5,may,0.83,1,-1,0,unknown,no,0,5.0
43,technician,single,secondary,no,593,yes,no,5,may,0.92,1,-1,0,unknown,no,0,5.0
41,admin.,divorced,secondary,no,270,yes,no,5,may,3.7,1,-1,0,unknown,no,0,5.0
29,admin.,single,secondary,no,390,yes,no,5,may,2.28,1,-1,0,unknown,no,0,5.0
53,technician,married,secondary,no,6,yes,no,5,may,8.62,1,-1,0,unknown,no,0,5.0
57,services,married,secondary,no,162,yes,no,5,may,2.9,1,-1,0,unknown,no,0,5.0
51,retired,married,primary,no,229,yes,no,5,may,5.88,1,-1,0,unknown,no,0,5.0
57,blue-collar,married,primary,no,52,yes,no,5,may,0.63,1,-1,0,unknown,no,0,5.0
60,retired,married,primary,no,60,yes,no,5,may,3.65,1,-1,0,unknown,no,0,5.0
33,services,married,secondary,no,0,yes,no,5,may,0.9,1,-1,0,unknown,no,0,5.0
28,blue-collar,married,secondary,no,723,yes,yes,5,may,4.37,1,-1,0,unknown,no,0,5.0
56,management,married,tertiary,no,779,yes,no,5,may,2.73,1,-1,0,unknown,no,0,5.0
32,blue-collar,single,primary,no,23,yes,yes,5,may,2.67,1,-1,0,unknown,no,0,5.0
25,services,married,secondary,no,50,yes,no,5,may,5.7,1,-1,0,unknown,no,0,5.0
40,retired,married,primary,no,0,yes,yes,5,may,3.02,1,-1,0,unknown,no,0,5.0
44,admin.,married,secondary,no,-372,yes,no,5,may,2.87,1,-1,0,unknown,no,0,5.0
39,management,single,tertiary,no,255,yes,no,5,may,4.93,1,-1,0,unknown,no,0,5.0
52,entrepreneur,married,secondary,no,113,yes,yes,5,may,2.12,1,-1,0,unknown,no,0,5.0
